TIME,VALUE,Device ID
518935,2475,1
518955,2447,1
518975,2471,1
518995,2463,1
519015,2471,1
519035,2433,1
519055,2416,1
519075,2474,1
519095,2479,1
519115,2469,1
519135,2475,1
519155,2469,1
519175,2473,1
519195,2467,1
519215,2480,1
519235,2474,1
519255,2470,1
519275,2484,1
519295,2474,1
519315,2469,1
519335,2475,1
519355,2470,1
519375,2479,1
519395,2470,1
519415,2466,1
519435,2443,1
519455,2471,1
519475,2466,1
519495,2467,1
519515,2467,1
519535,2477,1
519555,2469,1
519575,2469,1
519595,2469,1
519615,2480,1
519635,2471,1
519655,2477,1
519675,2457,1
519695,2471,1
519715,2472,1
519735,2466,1
519755,2474,1
519775,2476,1
519795,2457,1
519815,2461,1
519835,2454,1
519865,2463,1
519875,2459,1
519895,2466,1
519915,2467,1
519935,2473,1
519955,2475,1
519975,2475,1
519995,2466,1
520015,2463,1
520035,2476,1
520055,2417,1
520075,2477,1
520095,2471,1
520115,2470,1
520135,2473,1
520155,2469,1
520175,2475,1
520195,2466,1
520215,2470,1
520235,2475,1
520255,2466,1
520275,2469,1
520295,2518,1
520315,2468,1
520335,2475,1
520355,2461,1
520375,2470,1
520395,2450,1
520415,2468,1
520435,2512,1
520455,2471,1
520475,2481,1
520495,2455,1
520515,2462,1
520535,2455,1
520555,2467,1
520575,2472,1
520595,2475,1
520615,2476,1
520635,2480,1
520655,2471,1
520675,2466,1
520695,2477,1
520715,2471,1
520735,2471,1
520755,2467,1
520775,2466,1
520795,2448,1
520815,2467,1
520835,2462,1
520855,2459,1
520875,2467,1
520895,2462,1
520915,2466,1
520935,2467,1
520955,2470,1
520975,2502,1
520995,2470,1
521015,2471,1
521035,2466,1
521055,2465,1
521075,2459,1
521095,2465,1
521115,2509,1
521135,2474,1
521155,2470,1
521175,2464,1
521195,2467,1
521215,2466,1
521235,2468,1
521255,2474,1
521275,2480,1
521295,2469,1
521315,2472,1
521335,2480,1
521355,2463,1
521375,2479,1
521395,2463,1
521415,2463,1
521435,2466,1
521455,2465,1
521475,2471,1
521495,2462,1
521515,2467,1
521535,2475,1
521555,2479,1
521575,2469,1
521595,2469,1
521615,2461,1
521635,2459,1
521675,2471,1
521705,2455,1
521725,2468,1
521745,2461,1
521765,2460,1
521775,2471,1
521785,2461,1
521795,2469,1
521815,2465,1
521835,2473,1
521855,2453,1
521875,2480,1
521895,2473,1
521915,2474,1
521935,2457,1
521955,2459,1
521975,2462,1
521995,2459,1
522015,2471,1
522035,2465,1
522055,2471,1
522075,2471,1
522095,2469,1
522115,2473,1
522135,2468,1
522155,2465,1
522175,2474,1
522195,2475,1
522215,2473,1
522235,2471,1
522255,2472,1
522275,2466,1
522295,2467,1
522315,2469,1
522335,2455,1
522355,2469,1
522375,2476,1
522395,2465,1
522415,2470,1
522435,2470,1
522455,2470,1
522475,2459,1
522495,2469,1
522515,2470,1
522535,2465,1
522555,2467,1
522575,2465,1
522595,2475,1
522615,2469,1
522635,2465,1
522655,2466,1
522675,2483,1
522695,2474,1
522715,2478,1
522735,2480,1
522755,2474,1
522775,2479,1
522795,2473,1
522815,2470,1
522835,2474,1
522855,2463,1
522875,2469,1
522895,2432,1
522915,2475,1
522935,2466,1
522955,2467,1
522975,2463,1
522995,2455,1
523015,2464,1
523035,2460,1
523055,2479,1
523075,2463,1
523095,2477,1
523115,2465,1
523135,2476,1
523155,2467,1
523175,2471,1
523195,2470,1
523215,2496,1
523235,2467,1
523255,2469,1
523275,2469,1
523295,2470,1
523315,2470,1
523335,2466,1
523355,2470,1
523375,2465,1
523395,2468,1
523415,2467,1
523435,2465,1
523455,2431,1
523475,2482,1
523495,2469,1
523515,2469,1
523535,2469,1
523555,2467,1
523575,2473,1
523595,2437,1
523615,2469,1
523635,2473,1
523655,2465,1
523675,2475,1
523695,2479,1
523715,2463,1
523735,2465,1
523755,2468,1
523775,2462,1
523795,2456,1
523815,2462,1
523835,2453,1
523855,2471,1
523875,2465,1
523895,2467,1
523915,2462,1
523935,2469,1
523955,2474,1
523975,2471,1
523995,2275,1
524015,2465,1
524035,2461,1
524055,2445,1
524075,2459,1
524095,2468,1
524115,2465,1
524135,2477,1
524155,2461,1
524175,2465,1
524195,2471,1
524215,2464,1
524235,2470,1
524255,2467,1
524275,2468,1
524295,2477,1
524315,2459,1
524335,2470,1
524355,2464,1
524375,2467,1
524395,2448,1
524415,2473,1
524435,2457,1
524455,2474,1
524475,2470,1
524495,2435,1
524515,2468,1
524535,2501,1
524555,2467,1
524575,2464,1
524595,2465,1
524615,2466,1
524635,2467,1
524655,2469,1
524675,2477,1
524695,2480,1
524715,2467,1
524735,2468,1
524755,2467,1
524775,2461,1
524795,2459,1
524835,2464,1
524855,2477,1
524885,2457,1
524905,2469,1
524925,2459,1
524935,2463,1
524945,2479,1
524955,2475,1
524975,2466,1
524995,2481,1
525015,2469,1
525035,2458,1
525055,2465,1
525075,2461,1
525095,2461,1
525115,2462,1
525135,2458,1
525155,2474,1
525175,2472,1
525195,2471,1
525215,2463,1
525235,2469,1
525255,2462,1
525275,2475,1
525295,2467,1
525315,2461,1
525335,2469,1
525355,2469,1
525375,2465,1
525395,2475,1
525415,2475,1
525435,2464,1
525455,2490,1
525475,2468,1
525495,2473,1
525515,2366,1
525535,2463,1
525555,2464,1
525575,2474,1
525595,2470,1
525615,2474,1
525635,2467,1
525655,2469,1
525675,2466,1
525695,2513,1
525715,2467,1
525735,2466,1
525755,2470,1
525775,2464,1
525795,2477,1
525815,2465,1
525835,2467,1
525855,2467,1
525875,2467,1
525895,2480,1
525915,2468,1
525935,2480,1
525955,2465,1
525975,2471,1
525995,2470,1
526015,2471,1
526035,2480,1
526055,2465,1
526075,2466,1
526095,2455,1
526115,2463,1
526135,2403,1
526155,2465,1
526175,2458,1
526195,2463,1
526215,2462,1
526235,2467,1
526255,2466,1
526275,2471,1
526295,2469,1
526315,2447,1
526335,2465,1
526355,2468,1
526375,2474,1
526395,2476,1
526415,2512,1
526435,2469,1
526455,2439,1
526475,2444,1
526495,2477,1
526515,2478,1
526535,2473,1
526555,2468,1
526575,2469,1
526595,2465,1
526615,2473,1
526635,2465,1
526655,2477,1
526675,2466,1
526695,2466,1
526715,2469,1
526735,2468,1
526755,2487,1
526775,2470,1
526795,2473,1
526815,2471,1
526835,2467,1
526855,2461,1
526875,2486,1
526895,2467,1
526915,2471,1
526935,2465,1
526955,2473,1
526975,2460,1
526995,2466,1
527015,2482,1
527035,2466,1
527055,2467,1
527075,2470,1
527095,2471,1
527115,2454,1
527135,2479,1
527155,2448,1
527175,2461,1
527195,2467,1
527215,2466,1
527235,2469,1
527255,2473,1
527275,2477,1
527295,2473,1
527315,2469,1
527335,2469,1
527355,2475,1
527375,2469,1
527395,2464,1
527415,2455,1
527435,2467,1
527455,2465,1
527475,2470,1
527495,2468,1
527515,2469,1
527535,2464,1
527555,2480,1
527575,2466,1
527595,2478,1
527615,2465,1
527635,2472,1
527655,2455,1
527675,2470,1
527695,2465,1
527715,2469,1
527735,2467,1
527755,2471,1
527775,2467,1
527795,2465,1
527815,2477,1
527835,2479,1
527855,2467,1
527875,2470,1
527895,2464,1
527915,2465,1
527935,2469,1
527955,2465,1
527975,2475,1
527995,2473,1
528015,2469,1
528035,2470,1
528055,2469,1
528075,2471,1
528095,2473,1
528115,2480,1
528135,2466,1
528155,2462,1
528175,2465,1
528195,2463,1
528215,2464,1
528235,2462,1
528255,2455,1
528275,2466,1
528295,2469,1
